10
1000 2000
410 411 -971
354 543 -922
462 739 -952
904 980 -931
13 14 -953
369 303 -961
684 685 -995
103 176 -958
489 633 -915
276 277 -969
387 388 -977
35 592 -961
53 249 -914
723 724 -967
555 556 -931
818 819 -994
570 571 -991
127 128 -987
833 208 -986
890 667 -908
560 561 -955
359 725 -987
640 918 -987
378 379 -997
98 212 -914
292 293 -931
747 748 -913
992 949 -924
242 243 -934
40 41 -906
229 230 -951
983 669 -932
17 368 -907
231 421 -991
838 839 -907
371 372 -993
144 551 -953
912 913 -988
858 689 -911
7 957 -910
209 210 -904
536 501 -993
887 743 -920
939 247 -970
501 953 -943
33 34 -987
932 222 -964
952 460 -949
856 857 -999
741 742 -980
750 751 -997
858 245 -988
724 907 -923
15 16 -957
311 962 -964
467 79 -954
187 188 -917
911 28 -989
632 633 -965
265 266 -956
619 620 -961
504 505 -912
394 395 -952
775 797 -981
963 964 -943
397 470 -932
156 362 -910
690 184 -945
502 473 -919
440 140 -930
99 100 -962
291 538 -925
680 681 -925
766 767 -900
630 363 -988
78 480 -926
547 675 -911
760 685 -990
609 911 -961
329 504 -931
476 477 -990
365 939 -931
661 398 -959
683 410 -950
625 805 -965
229 7 -999
524 848 -917
983 349 -941
874 875 -965
211 960 -930
869 212 -949
692 554 -943
334 686 -998
229 963 -914
875 876 -981
667 668 -943
285 286 -901
940 941 -981
166 246 -953
621 518 -900
111 483 -921
985 986 -939
657 446 -941
766 718 -965
790 791 -985
777 778 -955
274 43 -985
953 920 -951
828 583 -956
942 943 -915
455 456 -914
926 927 -947
147 663 -915
4 5 -907
253 438 -910
808 809 -977
474 475 -907
588 744 -959
319 187 -967
953 300 -909
235 236 -965
743 599 -993
439 922 -956
776 22 -935
401 721 -947
875 551 -932
813 816 -995
191 192 -966
733 734 -987
34 745 -926
290 291 -972
792 767 -936
158 159 -958
677 176 -990
586 339 -940
356 357 -907
143 144 -908
634 635 -973
431 692 -979
506 507 -933
886 778 -933
574 70 -903
736 935 -935
665 666 -972
840 826 -995
74 75 -965
41 360 -920
205 942 -974
857 858 -967
150 391 -914
636 637 -903
736 263 -988
690 691 -914
773 774 -964
553 554 -915
217 218 -914
329 330 -951
372 166 -946
794 673 -972
687 752 -923
56 57 -984
533 508 -958
925 926 -925
601 590 -941
197 198 -918
893 894 -999
332 333 -916
22 658 -913
466 467 -1000
847 924 -975
326 205 -941
941 618 -912
675 619 -946
235 966 -920
951 767 -992
326 854 -917
406 441 -919
160 658 -908
425 308 -967
829 830 -901
196 197 -988
93 94 -970
816 315 -943
747 684 -928
772 773 -926
84 85 -959
803 215 -999
584 4 -984
498 499 -923
673 847 -997
231 232 -963
773 958 -938
269 660 -908
781 782 -938
609 610 -988
103 104 -988
456 457 -988
709 663 -976
133 478 -933
761 762 -925
292 672 -960
66 239 -926
317 23 -998
786 787 -948
542 814 -979
133 134 -941
578 579 -998
662 111 -991
591 598 -977
5 6 -928
491 443 -919
583 584 -904
956 785 -986
542 543 -940
868 869 -959
578 541 -910
839 840 -939
847 848 -917
738 82 -933
713 193 -956
806 156 -986
816 265 -938
65 66 -995
314 413 -970
161 162 -962
969 970 -997
3 4 -929
267 268 -978
418 419 -996
180 181 -947
207 208 -985
890 891 -959
574 312 -949
979 980 -925
28 29 -977
616 438 -972
737 738 -913
613 614 -936
436 132 -925
246 247 -912
842 800 -921
423 424 -935
383 384 -945
813 814 -962
43 44 -974
771 457 -934
659 660 -984
852 853 -939
311 312 -994
439 950 -971
35 956 -910
245 246 -945
200 201 -955
903 875 -988
208 209 -941
638 557 -932
469 976 -949
20 193 -976
857 545 -997
264 179 -934
84 654 -947
42 402 -920
653 558 -962
874 154 -994
467 191 -962
424 898 -995
199 200 -933
230 497 -927
793 997 -990
608 609 -986
72 73 -949
858 820 -979
117 118 -953
643 853 -952
277 278 -918
670 671 -914
190 191 -941
542 580 -905
457 458 -924
144 145 -958
789 790 -992
84 287 -909
185 186 -976
604 605 -915
492 722 -980
317 171 -994
215 216 -985
591 139 -920
519 712 -933
427 60 -937
356 746 -964
680 873 -994
361 362 -944
427 325 -940
837 838 -964
572 573 -921
417 418 -996
21 86 -921
554 555 -944
294 295 -975
368 904 -983
268 575 -923
510 511 -914
376 377 -936
102 42 -969
407 408 -920
587 588 -963
985 602 -955
999 0 -903
982 500 -928
278 726 -949
844 845 -978
105 106 -980
970 971 -964
783 4 -997
213 214 -952
2 922 -985
85 86 -954
823 167 -939
360 389 -957
210 526 -971
848 3 -920
639 640 -935
696 697 -986
851 930 -988
4 734 -965
19 20 -949
899 900 -926
594 941 -970
326 327 -963
827 828 -919
753 754 -997
535 536 -901
402 564 -961
606 633 -907
880 350 -951
782 833 -937
854 855 -992
863 373 -942
910 911 -953
354 199 -959
694 695 -907
389 390 -935
102 103 -958
949 950 -901
87 88 -941
642 643 -944
59 60 -956
811 812 -994
333 334 -927
151 152 -994
467 170 -940
581 582 -945
150 151 -969
516 517 -941
10 11 -985
429 430 -926
137 724 -940
272 273 -905
366 406 -901
469 470 -949
199 248 -902
956 707 -976
144 624 -902
141 142 -907
931 932 -932
760 761 -902
917 563 -915
381 734 -987
75 597 -945
162 163 -950
981 248 -907
49 343 -978
111 112 -949
169 298 -909
52 651 -956
97 378 -934
60 61 -915
948 463 -921
575 499 -960
859 511 -905
300 301 -983
353 354 -949
138 139 -916
832 566 -982
369 46 -965
393 866 -999
124 607 -973
764 765 -949
655 656 -941
746 817 -916
832 833 -920
142 210 -937
190 980 -923
563 564 -980
295 922 -969
374 269 -905
855 856 -961
629 530 -907
848 849 -993
118 119 -945
709 856 -951
783 261 -945
981 449 -914
622 623 -978
631 632 -965
978 979 -975
984 261 -928
269 274 -975
460 461 -945
977 978 -952
652 653 -996
433 434 -998
264 484 -939
488 489 -906
119 507 -949
444 445 -946
892 893 -958
886 289 -933
742 872 -914
167 168 -979
327 328 -913
688 689 -960
305 325 -949
3 844 -932
344 355 -985
545 434 -947
515 236 -930
681 312 -911
391 392 -979
374 375 -905
390 391 -963
998 6 -993
226 227 -906
585 586 -939
536 911 -913
368 369 -946
953 954 -955
64 625 -975
199 680 -901
154 155 -998
314 315 -982
615 616 -907
859 860 -936
363 986 -914
599 600 -995
623 624 -965
876 877 -976
411 978 -919
216 217 -995
152 153 -979
83 275 -929
343 49 -926
113 220 -915
815 816 -987
474 864 -940
690 57 -938
158 840 -983
752 654 -987
131 132 -991
993 994 -953
588 427 -946
458 459 -975
45 400 -904
751 183 -954
712 669 -926
554 204 -904
788 789 -957
18 19 -990
935 936 -947
212 429 -908
42 43 -993
816 150 -995
331 332 -975
742 878 -965
249 731 -904
583 822 -985
132 133 -928
606 607 -984
533 290 -949
68 69 -924
264 265 -995
285 844 -905
865 866 -900
585 721 -909
735 736 -954
580 581 -952
884 974 -970
3 322 -994
21 22 -974
400 830 -993
44 386 -1000
574 792 -981
700 701 -946
514 515 -941
485 291 -981
802 803 -949
652 462 -988
525 526 -965
631 714 -1000
255 256 -923
443 444 -949
29 30 -904
982 983 -955
324 325 -981
785 535 -995
936 740 -911
537 538 -965
753 151 -990
614 615 -925
554 447 -910
565 566 -901
322 389 -922
629 630 -929
680 832 -980
446 447 -940
735 633 -903
785 898 -999
234 606 -983
939 940 -958
510 25 -970
179 368 -969
917 918 -933
24 928 -985
660 661 -952
235 127 -902
767 330 -967
744 549 -945
582 724 -991
252 64 -909
801 802 -963
676 443 -935
76 77 -923
739 740 -984
978 884 -997
621 622 -993
399 400 -1000
121 733 -901
543 372 -907
988 989 -902
284 702 -997
842 843 -952
168 24 -963
220 221 -959
567 568 -994
249 855 -986
681 800 -1000
913 189 -932
527 528 -929
965 677 -938
432 433 -906
893 288 -955
70 199 -979
451 953 -920
186 187 -911
384 721 -963
109 511 -989
976 240 -997
298 299 -922
836 837 -972
733 931 -928
534 535 -917
222 223 -939
78 79 -912
165 183 -932
447 18 -961
13 916 -900
618 619 -912
232 233 -922
266 267 -921
373 374 -965
256 161 -972
65 273 -952
155 929 -940
795 796 -946
761 743 -932
912 941 -988
407 61 -926
799 800 -975
914 32 -939
756 757 -971
412 413 -946
166 167 -925
235 559 -941
790 772 -931
699 75 -959
301 302 -913
256 801 -991
944 945 -949
499 259 -998
708 709 -947
509 510 -909
309 47 -948
121 122 -910
719 720 -956
814 815 -948
347 348 -933
313 314 -922
106 107 -906
890 400 -954
162 802 -986
106 734 -992
462 463 -912
206 207 -929
684 617 -965
963 655 -902
234 569 -961
352 353 -991
204 205 -922
805 806 -927
458 379 -948
234 968 -912
561 562 -968
548 549 -902
569 570 -935
140 946 -963
110 111 -957
273 996 -958
349 585 -996
964 965 -989
863 864 -981
17 576 -965
136 358 -902
398 399 -938
632 676 -914
824 825 -980
11 652 -929
885 886 -953
529 530 -939
823 824 -911
838 450 -944
526 425 -936
728 973 -965
164 165 -983
990 890 -933
328 784 -978
71 72 -957
568 569 -949
465 864 -936
82 293 -924
871 872 -957
125 538 -951
180 974 -939
920 921 -986
7 8 -1000
731 732 -906
817 818 -912
400 401 -998
628 629 -916
926 744 -963
360 361 -948
440 441 -961
434 300 -930
197 916 -948
338 339 -907
962 923 -972
2 3 -987
772 803 -987
496 126 -992
367 368 -963
594 256 -927
983 984 -987
168 459 -967
464 465 -929
566 567 -956
672 570 -934
288 595 -949
469 251 -998
293 294 -931
47 48 -940
242 434 -916
365 366 -959
749 750 -904
468 469 -911
622 227 -953
384 771 -908
123 124 -906
369 370 -939
987 761 -1000
612 613 -930
310 311 -916
32 33 -938
150 163 -936
860 861 -970
237 238 -939
134 135 -941
347 864 -926
230 176 -940
513 514 -969
192 81 -997
588 589 -985
22 221 -926
352 387 -958
507 373 -974
841 842 -998
241 242 -915
192 926 -959
489 660 -921
438 366 -997
304 620 -941
425 426 -926
218 786 -974
862 127 -985
932 933 -926
989 990 -997
53 54 -953
986 987 -907
25 519 -927
395 396 -985
992 993 -903
963 330 -935
668 101 -905
453 302 -997
712 713 -924
903 178 -998
118 144 -960
294 953 -963
458 168 -959
192 193 -901
738 739 -992
363 887 -950
920 329 -916
984 985 -904
349 854 -925
714 715 -902
826 498 -916
450 40 -904
592 593 -968
477 478 -966
662 663 -980
197 945 -969
182 183 -923
657 0 -928
122 966 -939
723 99 -921
923 489 -973
316 317 -946
663 38 -907
406 377 -923
956 957 -907
905 906 -915
745 746 -983
25 395 -920
349 566 -995
372 373 -909
107 419 -960
893 534 -926
824 667 -990
480 132 -967
364 465 -911
657 478 -998
686 12 -968
169 170 -991
172 173 -946
443 881 -995
91 547 -914
159 19 -934
640 641 -907
975 976 -921
835 41 -918
261 921 -957
225 944 -939
74 306 -945
810 811 -967
219 220 -986
396 492 -908
479 622 -925
610 611 -986
855 64 -997
941 942 -960
574 575 -929
202 203 -955
149 238 -951
134 79 -972
344 345 -927
233 916 -995
319 320 -944
90 91 -936
139 421 -917
966 990 -992
35 36 -918
422 423 -952
943 17 -954
597 37 -940
470 439 -997
963 388 -965
674 675 -963
66 67 -935
423 149 -950
174 363 -920
785 786 -911
69 70 -970
449 699 -920
434 250 -993
438 439 -914
869 716 -903
490 491 -971
518 519 -946
211 212 -970
384 385 -945
603 82 -986
177 521 -914
727 728 -937
574 426 -940
765 197 -901
644 111 -983
421 596 -918
585 458 -909
237 174 -942
288 289 -984
409 410 -930
338 912 -964
428 125 -906
962 963 -953
16 17 -931
76 621 -901
524 525 -913
794 795 -941
137 57 -908
273 274 -902
693 2 -937
973 974 -990
146 147 -993
393 966 -923
934 872 -991
753 450 -961
705 41 -996
301 832 -998
978 296 -909
759 192 -936
729 730 -962
477 422 -924
92 93 -991
806 512 -945
866 867 -922
415 416 -907
557 158 -998
397 398 -958
965 302 -923
37 38 -949
283 284 -941
281 282 -958
302 303 -903
603 604 -938
490 188 -971
449 450 -924
139 140 -977
689 690 -942
327 307 -994
206 510 -907
788 91 -945
189 190 -914
147 148 -959
556 600 -968
393 394 -951
426 427 -977
526 675 -982
288 218 -994
716 717 -948
409 218 -978
77 78 -975
145 146 -978
148 149 -964
878 813 -978
596 597 -924
676 831 -997
707 708 -974
368 675 -983
927 928 -903
470 705 -965
491 492 -928
183 606 -942
253 254 -947
295 271 -910
422 978 -924
78 441 -933
257 258 -948
576 425 -921
697 698 -965
862 863 -909
551 684 -944
909 910 -994
726 896 -951
234 235 -928
417 948 -915
137 138 -945
898 266 -926
115 116 -998
158 258 -954
363 364 -955
709 710 -987
24 696 -949
986 847 -944
896 897 -982
236 237 -1000
125 126 -910
696 465 -956
210 211 -1000
726 170 -904
828 829 -959
463 464 -917
198 199 -948
219 456 -974
543 544 -945
965 966 -986
404 405 -961
541 542 -966
707 218 -926
360 246 -975
31 290 -996
377 416 -943
764 338 -986
577 578 -909
57 58 -967
758 366 -974
101 102 -900
155 156 -956
595 596 -967
715 716 -985
500 501 -900
952 953 -928
173 174 -984
370 371 -911
826 770 -925
974 975 -926
413 222 -908
219 713 -945
592 122 -940
552 553 -951
431 432 -907
364 365 -922
105 832 -982
431 832 -973
812 813 -946
722 723 -942
60 342 -952
654 655 -930
247 248 -922
846 201 -937
594 595 -999
857 479 -960
778 779 -921
752 753 -971
630 765 -922
92 232 -984
672 713 -960
638 581 -934
70 71 -947
5 686 -913
428 429 -927
597 428 -989
68 373 -987
244 364 -992
51 381 -915
906 907 -958
822 823 -923
725 726 -951
947 790 -961
790 553 -947
164 739 -955
73 74 -960
445 446 -983
605 606 -923
322 550 -921
46 47 -927
565 362 -966
707 703 -970
324 417 -981
157 158 -977
987 988 -910
609 611 -995
602 603 -995
318 319 -911
253 451 -924
175 176 -947
595 235 -978
384 707 -962
278 279 -977
759 760 -992
636 740 -906
681 682 -938
62 63 -962
51 52 -916
799 716 -930
593 594 -945
84 380 -925
571 572 -958
371 56 -983
383 68 -929
846 413 -968
136 483 -942
289 290 -990
717 718 -910
776 164 -952
170 171 -959
340 341 -964
630 454 -947
779 453 -985
780 781 -943
643 644 -997
698 699 -968
698 859 -950
107 108 -913
332 493 -954
945 946 -926
314 995 -955
397 150 -948
401 402 -936
463 758 -976
259 18 -925
230 231 -997
89 682 -910
740 741 -980
744 745 -918
888 889 -965
474 543 -993
571 845 -986
600 601 -963
918 919 -911
547 548 -945
80 81 -953
771 772 -964
677 678 -975
247 471 -904
246 117 -912
451 345 -989
680 433 -912
224 225 -939
515 516 -963
97 98 -968
651 652 -991
95 920 -921
947 948 -904
879 880 -940
536 537 -943
661 849 -982
355 356 -926
648 649 -938
233 234 -979
894 895 -913
624 625 -972
227 228 -920
153 154 -940
321 322 -959
845 432 -957
437 438 -919
977 113 -927
699 700 -993
5 418 -903
31 32 -992
548 184 -912
237 398 -953
0 1 -945
483 484 -946
530 531 -915
721 5 -998
140 726 -977
650 651 -996
783 784 -949
126 127 -945
706 707 -902
406 776 -968
849 357 -998
680 142 -928
306 307 -974
132 231 -985
67 68 -967
391 238 -935
769 923 -911
238 239 -931
913 231 -975
375 376 -963
159 160 -949
299 300 -941
20 21 -954
358 663 -906
820 198 -911
880 881 -928
957 958 -905
646 647 -943
141 561 -986
950 951 -974
844 5 -921
913 914 -985
888 504 -971
270 271 -948
616 922 -962
241 628 -918
517 518 -949
113 114 -903
898 899 -991
797 304 -938
576 577 -994
189 138 -924
666 403 -926
271 682 -979
774 342 -911
381 382 -921
372 118 -971
695 696 -913
323 324 -958
120 121 -933
249 250 -986
456 888 -977
399 806 -944
53 988 -976
251 49 -959
519 372 -990
904 185 -944
869 870 -921
81 82 -915
877 547 -990
532 533 -944
403 404 -932
399 787 -938
929 954 -942
335 995 -903
705 288 -919
315 316 -944
720 721 -914
731 921 -955
186 103 -979
636 957 -930
520 452 -974
86 470 -922
915 668 -910
883 75 -934
243 244 -930
26 27 -903
778 309 -949
439 440 -978
508 509 -942
436 437 -944
656 353 -949
951 697 -929
497 777 -1000
315 745 -972
751 752 -953
98 99 -929
810 501 -967
814 282 -974
442 443 -951
339 340 -985
183 184 -957
778 418 -986
149 150 -901
988 759 -980
625 626 -975
274 50 -923
165 91 -916
354 288 -958
743 851 -913
261 262 -938
924 925 -976
656 657 -901
439 651 -993
95 96 -908
595 600 -906
803 804 -914
948 250 -930
122 123 -951
980 981 -954
663 664 -954
831 357 -968
821 822 -949
454 455 -933
61 62 -900
179 180 -990
692 758 -950
214 215 -934
911 912 -924
584 585 -984
194 195 -972
666 667 -932
100 101 -958
6 92 -985
818 409 -991
270 209 -961
252 253 -943
158 714 -904
489 490 -963
887 888 -952
782 783 -907
996 752 -927
136 468 -986
363 567 -943
696 333 -979
503 801 -956
529 52 -945
239 240 -940
624 682 -952
686 687 -926
746 296 -957
774 775 -974
427 428 -915
838 832 -966
142 399 -964
112 113 -915
96 97 -977
266 962 -919
494 495 -933
452 453 -909
218 219 -923
139 848 -977
705 706 -906
451 621 -973
215 473 -988
713 714 -973
766 838 -973
627 983 -924
348 792 -953
975 805 -966
459 460 -907
736 737 -966
660 815 -928
256 257 -972
399 277 -915
404 976 -945
290 291 -1000
598 599 -969
594 926 -961
349 350 -982
128 129 -967
819 820 -971
702 38 -962
884 885 -945
260 261 -918
304 305 -900
604 380 -990
845 825 -953
598 566 -982
303 304 -901
177 178 -974
500 909 -902
393 572 -942
591 592 -1000
719 414 -961
23 816 -962
641 642 -976
429 440 -946
263 264 -937
32 601 -904
284 285 -940
705 302 -987
861 862 -974
329 928 -972
359 357 -902
582 583 -941
297 298 -972
732 733 -956
36 37 -992
929 930 -950
954 955 -921
497 30 -924
203 204 -952
94 95 -976
497 880 -913
288 470 -970
333 243 -992
579 536 -994
980 805 -902
502 503 -985
528 529 -989
487 488 -984
481 698 -990
450 574 -980
834 835 -957
951 952 -993
620 621 -934
377 378 -955
404 258 -921
653 654 -915
357 358 -911
413 414 -926
225 226 -924
44 45 -909
915 916 -916
121 137 -944
359 267 -924
385 70 -994
763 764 -989
298 92 -905
891 892 -995
648 529 -904
726 727 -923
945 432 -961
808 425 -947
494 77 -951
658 659 -952
530 189 -901
873 874 -986
599 479 -912
881 882 -974
258 259 -918
958 807 -986
96 585 -976
493 494 -916
251 252 -982
969 113 -950
640 696 -915
318 517 -901
414 415 -957
585 189 -902
847 258 -955
461 462 -974
760 168 -983
638 639 -934
681 571 -915
499 500 -992
425 423 -960
948 43 -932
223 224 -984
830 831 -968
649 650 -926
402 908 -981
692 551 -956
755 761 -997
742 743 -953
472 473 -977
673 674 -954
743 744 -918
943 944 -922
507 508 -993
78 712 -948
210 939 -963
78 982 -960
38 39 -924
64 65 -918
78 190 -937
122 168 -932
453 454 -991
273 499 -959
382 383 -911
922 923 -959
800 622 -925
616 625 -988
907 102 -969
727 271 -985
576 431 -952
842 522 -927
687 688 -978
380 381 -998
386 270 -938
173 117 -996
259 260 -911
165 327 -910
395 69 -921
736 878 -908
533 534 -983
222 861 -991
806 807 -951
610 645 -978
116 138 -991
142 426 -964
281 752 -918
993 376 -919
345 346 -910
359 360 -985
501 502 -957
460 213 -925
374 971 -968
732 741 -917
109 110 -993
968 969 -901
58 59 -984
878 879 -905
244 985 -913
497 498 -925
435 436 -938
64 564 -950
523 524 -1000
480 481 -907
908 323 -942
607 561 -969
63 64 -970
526 331 -940
843 844 -1000
328 128 -996
669 885 -998
434 435 -933
590 946 -935
696 823 -915
153 343 -983
396 397 -951
671 143 -953
442 907 -944
997 998 -906
554 212 -910
538 539 -906
615 76 -946
102 379 -933
479 480 -918
519 520 -992
877 535 -921
110 984 -919
904 212 -905
776 777 -925
318 597 -906
322 323 -944
520 521 -967
538 783 -962
502 612 -946
798 799 -966
201 202 -906
171 172 -965
703 704 -958
298 128 -980
385 386 -928
585 34 -963
250 251 -927
897 898 -909
30 31 -902
210 891 -926
164 810 -918
481 482 -916
410 955 -983
415 203 -973
460 159 -999
903 904 -972
807 808 -930
184 185 -946
279 280 -936
269 270 -935
295 296 -982
928 929 -937
849 850 -908
286 287 -934
904 905 -993
966 543 -941
94 581 -988
108 109 -946
625 4 -938
95 433 -953
499 299 -949
914 915 -997
960 961 -920
779 780 -932
245 246 -949
540 265 -901
833 515 -919
853 854 -945
335 57 -901
512 513 -908
469 121 -927
192 849 -979
755 702 -962
82 83 -901
696 830 -999
635 899 -980
337 338 -988
238 102 -960
358 359 -942
333 153 -992
647 437 -947
959 960 -980
850 900 -935
804 805 -939
113 675 -975
522 523 -931
275 276 -936
933 934 -961
929 436 -981
566 657 -913
59 373 -921
224 98 -937
526 205 -931
156 157 -995
730 731 -977
877 878 -942
803 151 -969
872 873 -967
716 234 -930
287 288 -991
298 414 -916
846 847 -923
343 344 -982
948 949 -935
709 829 -965
421 422 -945
345 232 -976
982 452 -996
758 759 -943
166 711 -977
611 612 -937
996 780 -957
793 794 -970
907 494 -960
592 127 -902
558 559 -937
734 735 -966
770 771 -969
549 550 -903
935 393 -941
895 896 -956
11 12 -993
227 791 -971
923 301 -920
822 826 -936
12 13 -969
825 826 -925
262 263 -968
32 725 -942
686 710 -950
26 285 -971
734 979 -925
129 130 -939
336 337 -998
776 767 -930
137 756 -948
832 644 -968
683 684 -904
883 884 -928
327 618 -967
6 7 -991
886 887 -913
482 483 -965
490 767 -998
91 92 -957
779 844 -975
193 320 -941
334 335 -933
640 728 -954
176 177 -968
178 179 -994
343 142 -956
938 939 -917
958 314 -920
617 618 -912
850 851 -987
943 944 -992
223 191 -985
440 880 -970
751 252 -912
996 997 -922
526 527 -945
524 919 -901
240 241 -935
441 442 -968
5 395 -961
75 76 -982
798 615 -970
471 472 -946
28 431 -959
470 471 -949
630 210 -909
128 869 -933
308 309 -958
95 517 -969
281 703 -987
180 649 -906
718 719 -943
930 564 -943
424 425 -966
417 256 -989
262 886 -915
89 90 -915
994 995 -968
473 474 -970
827 251 -987
346 347 -930
575 576 -963
834 113 -901
835 836 -935
651 733 -917
368 809 -999
170 221 -967
432 19 -986
9 10 -935
971 972 -940
448 449 -981
34 35 -943
765 766 -991
912 184 -900
245 639 -946
710 711 -967
691 692 -961
589 590 -992
335 336 -928
627 283 -994
17 18 -958
791 792 -985
48 49 -953
562 563 -983
675 676 -917
27 28 -989
616 149 -941
701 702 -956
430 431 -917
112 430 -907
633 634 -948
485 486 -940
492 493 -965
877 578 -964
830 563 -958
668 669 -916
498 820 -915
826 855 -986
465 746 -994
149 374 -996
406 486 -957
244 245 -995
579 987 -948
232 396 -948
546 547 -1000
783 252 -918
769 770 -975
986 526 -926
948 787 -919
548 274 -904
601 377 -939
557 558 -912
112 245 -997
816 817 -933
998 999 -938
870 871 -910
410 524 -903
881 981 -977
645 646 -996
748 749 -987
820 821 -966
286 767 -919
485 773 -904
711 712 -953
484 485 -942
712 264 -964
23 24 -948
961 962 -966
503 504 -944
400 100 -918
261 279 -938
328 418 -960
95 129 -976
556 332 -904
792 288 -900
804 980 -970
755 756 -920
704 705 -914
755 777 -978
223 571 -905
809 810 -926
252 489 -991
906 63 -999
669 932 -929
962 763 -939
10 645 -901
477 964 -928
408 409 -989
79 735 -937
879 680 -987
685 686 -962
402 403 -939
351 352 -993
392 393 -943
966 977 -939
903 134 -945
736 151 -982
505 506 -943
840 365 -901
274 482 -960
874 906 -945
733 478 -921
237 307 -946
188 210 -948
671 672 -915
163 164 -966
177 369 -997
175 865 -956
907 908 -901
551 552 -957
323 883 -903
277 832 -989
342 343 -988
896 984 -937
181 182 -914
831 832 -952
298 23 -945
637 638 -968
999 519 -926
908 909 -963
478 479 -912
833 834 -936
467 468 -901
784 785 -921
348 349 -950
281 651 -959
7 480 -992
341 342 -991
32 5 -978
411 412 -972
738 155 -983
648 269 -938
168 169 -909
923 924 -934
366 367 -979
473 412 -929
164 998 -996
651 94 -973
946 654 -920
377 129 -901
98 117 -977
491 212 -917
607 642 -973
320 321 -922
662 576 -958
890 779 -940
995 996 -950
136 346 -965
635 636 -980
461 798 -914
130 131 -901
297 602 -909
931 424 -928
449 555 -979
451 452 -958
347 597 -945
475 476 -983
104 105 -924
37 156 -927
263 593 -991
55 508 -993
296 297 -972
39 40 -998
141 787 -908
680 404 -959
425 376 -947
291 292 -981
990 991 -998
40 448 -953
231 100 -999
405 406 -933
559 560 -960
967 968 -926
693 694 -911
50 51 -922
350 351 -927
594 850 -932
735 66 -941
936 937 -967
41 42 -903
573 574 -983
409 284 -990
180 72 -924
354 355 -915
746 747 -960
916 917 -933
86 87 -1000
310 215 -905
669 670 -961
4 34 -950
